Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
10.or,E,E,2840-2846MB,Phone,Qualcomm MSM8937,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
10.or,G,G,2830-3603MB,Phone,Qualcomm MSM8953,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
10.or,D,10or_D,2868-2874MB,Phone,Qualcomm MSM8917,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25;27,3.0
3Q,OC1020A,OC1020A,,Tablet,TI OMAP4428,1280x800,160,armeabi-v7a;armeabi,15,2.0
4good,A103,4GOOD_Light_A103,907MB,Phone,Mediatek MT6737M,540x960,240,armeabi-v7a;armeabi,24,3.1
4good,4GOOD Light B100,4GOOD_Light_B100,907MB,Phone,Mediatek MT6737M,540x960,240,armeabi-v7a;armeabi,24,3.1
7Eleven,IN265,IN265,466MB,Phone,Mediatek MT6572,540x960,240,armeabi-v7a;armeabi,17,2.0
7mobile,DRENA,DRENA,925MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,24,2.0
7mobile,KAMBA,KAMBA,1957MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
7mobile,SWEGUE,SWEGUE,1836MB,Phone,Mediatek MT6737T,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.1
A.O.I. ELECTRONICS FACTORY,A.O.I.,TR10CS1_11,965MB,Tablet,Intel Z2520,1280x800,160,x86;armeabi-v7a;armeabi,17,2.0
A1,A1 Smart N9,VFD720,1875MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Aamra WE,E2,E2,964MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,24,2.0
Abocom,A08SM,A08,1024MB,,Rockchip RK3066,1920x1080,213,armeabi-v7a;armeabi,19,2.0
Accent,Pearl_A4,Pearl_A4,955MB,Phone,Mediatek MT6580,720x1440,320,armeabi-v7a;armeabi,24,2.0
Accent,CAMELEON C5,CAMELEON_C5,932MB,Phone,Spreadtrum SC7731E,480x960,240,armeabi-v7a;armeabi,27,3.2
Accent,FAST7 3G,FAST7_3G,954MB,Tablet,Mediatek MT8321,720x1280,160,armeabi-v7a;armeabi,24,2.0
Accent,Pearl A4 PLUS,PEARL_A4_PLUS,1929MB,Phone,Mediatek MT6737,720x1440,320,armeabi-v7a;armeabi,24,3.1
Accent,SPEED S8,SPEED_S8,894MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Acegame S.A.,One_Mundial,One_Mundial,983MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,25,2.0
Acegame S.A.,PROTON_JADE_2_PRO,PROTON_JADE_2_PRO,984MB,Tablet,Rockchip RK3126C,800x1280,160,armeabi-v7a;armeabi,25,2.0
Acegame S.A.,SAPPHIRE_HDLT,SAPPHIRE_HDLT,983MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,25,2.0
Acer,DA245HQL,da245hql,860MB,Tablet,NVidia Tegra 4,1920x1080,160,armeabi-v7a;armeabi,17,2.0
Acer,Liquid Mini,C4R,,Phone,Qualcomm MSM7x27,320x480,160,armeabi,10,2.0
Acer,E310,c4,,Phone,Qualcomm MSM7x27,320x480,160,armeabi,8,2.0
Acer,Liquid Jade S,acer_S56,1914-1916MB,Phone,Mediatek MT6752M,720x1280,320,armeabi-v7a;armeabi,19;22,3.0
Acer,Icona One 7,vespa,965-968MB,Tablet,Intel Z2560,800x1280,213,x86;armeabi-v7a;armeabi,17;19,2.0
Acer,Liquid Z330,T01,900MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,22,3.0
Acer,Iconia One 10,acer_jetfirelte,1925MB,Tablet,Mediatek MT8735,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Acer,Iconia One 10,corona,970MB,Tablet,Mediatek MT8163,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,22,3.0
Acer,Iconia One 10,acer_Colnago,1962MB,Tablet,Mediatek MT8167B,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Acer,Iconia Tab A200,picasso_e,,Tablet,NVidia Tegra 2,1280x800,160,armeabi-v7a;armeabi,13;15,2.0
Acer,A110,a110,980MB,Tablet,NVidia Tegra 3 T30,600x1024,160,armeabi-v7a;armeabi,16,2.0
Acer,Chromebook 14 for work,lars_cheets,3846MB,PC,Intel 3855U,768x1366,160,x86;armeabi-v7a;armeabi,25,3.1
Acer,A1-713,acer_aprilia,958-970MB,Tablet,Mediatek MT8382,600x1024,160,armeabi-v7a;armeabi,17;19,2.0
Acer,A1-810,mango,994-996MB,Tablet,Mediatek MT8125,768x1024,160,armeabi-v7a;armeabi,17;19,2.0
Acer,B1-780,acer_barricadewifi,948MB,Phone,Mediatek MT8163,720x1280,213,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Acer,J73G,J73G,957MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,23,2.0
Acer,TA272HUL,ta2,1874MB,Tablet,NVidia Tegra 4,2560x1440,213,armeabi-v7a;armeabi,17,2.0
Acer,Stream,a3,,Phone, ,480x800,240,armeabi-v7a;armeabi,8,2.0
Acer,E140,k4,,Phone,Qualcomm MSM7x27,240x320,120,armeabi,8,2.0
Acer,CloudMobile S500,a9,794MB,Phone,Qualcomm MSM8260A,720x1184,320,armeabi-v7a;armeabi,15;16,2.0
Acer,G1-715,G1-715,987MB,Tablet,Mediatek MT8137,600x1024,160,armeabi-v7a;armeabi,16,2.0
Acer,Liquid Jade,acer_S55,954MB,Phone,Mediatek MT6582,720x1280,320,armeabi-v7a;armeabi,19,2.0
Acer,Iconia Tab 10,acer_asgard,1970MB,Tablet,Mediatek MT8176A,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Acer,Iconia Tab 10,acer_asgardfhd,1954MB,Tablet,Mediatek MT8167B,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Acer,Iconia Tab 10,acer_Titan,3959MB,Tablet,Mediatek MT8176A,1200x1920,240,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Acer,E330,C7,,Phone,Qualcomm MSM7227A,480x800,240,armeabi-v7a;armeabi,15,2.0
Acer,Iconia Tab A511,picasso_m,973MB,Tablet,NVidia Tegra 3 T30,1280x800,160,armeabi-v7a;armeabi,15;16,2.0
Acer,E210,k5,,Phone,Qualcomm MSM7x27,320x240,160,armeabi,8,2.0
Acer,DA223HQL,da3,833MB,Tablet,Qualcomm APQ8064,1920x1080,160,armeabi-v7a;armeabi,16,2.0
Acer,Liquid Z630S,acer_t04,2959-2962MB,Phone,Mediatek MT6753,720x1280,320,armeabi-v7a;armeabi,22;23,3.0
Acer,Acer Chromebook 11 (C740),paine_cheets,3883MB,PC,Intel 3215U,768x1366,160,x86;armeabi-v7a;armeabi,25,3.1
Acer,A1-734,acer_barricade,1926MB,Phone,Mediatek MT8735,720x1280,213,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Acer,A101,vangogh,,Tablet,NVidia Tegra 2,1024x600,160,armeabi-v7a;armeabi,13;15,2.0
Acer,Liquid C1,I1,967MB,Phone,Intel Lexington,540x960,240,x86;armeabi-v7a;armeabi,15;16,2.0
Acer,Chromebook Tab 10,scarlet_cheets,3813MB,PC,Rockchip RK3399,1536x2048,240,armeabi-v7a;armeabi,25,3.1
Acer,Liquid E3,acer_e3,969-1987MB,Phone,Mediatek MT6589,720x1280,320,armeabi-v7a;armeabi,17;19,2.0
Acer,DA222HQLA,da222hqla,972MB,Tablet,NVidia Tegra 3 T33,1920x1080,160,armeabi-v7a;armeabi,17,2.0
Acer,Liquid Z6,acer_t09,929MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,23,3.0
Acer,G100W,maya,,Tablet,NVidia Tegra 2 AP20,1280x752,160,armeabi-v7a;armeabi,13,2.0
Acer,A1-830,ducati,965-968MB,Tablet,Intel Z2560,768x1024,160,x86;armeabi-v7a;armeabi,17;19,2.0
Acer,Iconia One 7,vespa2,885MB,Tablet,Intel Z3735G,800x1280,213,x86;armeabi-v7a;armeabi,19,3.0
Acer,Iconia One 7,G1-725,968MB,Tablet,Intel Z2560,600x1024,160,x86;armeabi-v7a;armeabi,19,2.0
Acer,Iconia One 7,acer_Vulcan,967MB,Tablet,Mediatek MT8167B,600x1024,160,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Acer,Liquid E1,C10,980MB,Phone,Mediatek MT6577M,540x960,240,armeabi-v7a;armeabi,16,2.0
Acer,Iconia Tab 7,acer_apriliahd,949MB,Tablet,Mediatek MT8382,800x1280,213,armeabi-v7a;armeabi,19,2.0
Acer,DA220HQL,DA220HQL,,Tablet,TI OMAP4430,1920x1080,160,armeabi-v7a;armeabi,15,2.0
Acer,Liquid E2,C11,975MB,Phone,Mediatek MT6589,540x960,240,armeabi-v7a;armeabi,17,2.0
Acer,B1-820,citizen,885MB,Tablet,Intel Z3735G,800x1280,213,x86;armeabi-v7a;armeabi,21,3.1
Acer,Liquid Z4,acer_Z6,468-1554MB,Phone,Mediatek MT6572,480x800,240,armeabi-v7a;armeabi,17;19,2.0
Acer,Tab 7,td070va1,877MB,Tablet,Wondermedia WM8880,600x1024,160,armeabi-v7a;armeabi,17,2.0
Acer,Liquid Z530S,acer_t05,2935MB,Phone,Mediatek MT6753,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22,3.0
Acer,GT-810,rolex,1836MB,Tablet,Intel x7-8700,1200x1920,320,x86_64;x86;arm64-v8a;armeabi-v7a;armeabi,22,3.1
Acer,DA226HQ,da6,879MB,Tablet,Rockchip RK3188,1920x1080,160,armeabi-v7a;armeabi,19,2.0
Acer,Liquid Z520,acer_z520,965MB,Phone,Mediatek MTK6582M,480x854,240,armeabi-v7a;armeabi,19,2.0
Acer,A3-A10,zara,992-994MB,Tablet,Mediatek MT8125,1280x800,160,armeabi-v7a;armeabi,17;19,2.0
Acer,Iconia Tab 8,ducati2fhd,1893MB,Tablet,Intel Z3745,1200x1920,320,x86;armeabi-v7a;armeabi,19,3.0
Acer,Iconia Tab 8,ducati2hd,885MB,Tablet,Intel Z3735F,800x1280,213,x86;armeabi-v7a;armeabi,19,3.1
Acer,Iconia Tab 8,ducati2hd3g,950MB,Tablet,Mediatek MT8389,800x1280,213,armeabi-v7a;armeabi,19,2.0
Acer,Liquid Z5,acer_ZXL,468MB,Phone,Mediatek MT6572,480x854,240,armeabi-v7a;armeabi,17,2.0
Acer,B1-A71,B1-A71,479MB,Tablet,Mediatek MT8137,600x1024,160,armeabi-v7a;armeabi,16,2.0
Acer,Iconia One 8,vespa8,884MB,Tablet,Intel Z3735G,800x1280,213,x86;armeabi-v7a;armeabi,19,3.0
Acer,Iconia One 8,acer_FrenzyRefresh,1975MB,Tablet,Mediatek MT8163A,1280x800,213,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Acer,Iconia One 8,acer_Zipp,963MB,Tablet,Mediatek MT8176A,800x1280,213,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Acer,Liquid Jade Z,acer_S57,898MB,Phone,Mediatek MT6732,720x1280,320,armeabi-v7a;armeabi,19,3.0
Acer,A3-A30,omega,1891MB,Tablet,Intel Z3735F,1920x1200,240,x86;armeabi-v7a;armeabi,21,3.1
Acer,Acer Chromebook R13,elm_cheets,3938MB,PC,Mediatek MT8173,1080x1920,160,armeabi-v7a;armeabi,25,3.2
Acer,Liquid,a1,,Phone,Qualcomm QSD8x50,800x480,240,armeabi-v7a;armeabi,7;8,2.0
Acer,Liquid Z500,acer_Z500,1970MB,Phone,Mediatek MT6582,720x1280,320,armeabi-v7a;armeabi,19,2.0
Acer,Liquid Zest,acer_t06,960MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,23,2.0
Acer,Liquid Zest Plus,acer_t08,1943MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,23,3.0
Acer,Liquid Z3,acer_ZXR,473MB,Phone,Mediatek MT6572M,320x480,160,armeabi-v7a;armeabi,17,2.0
Acer,Liquid Z3,ZX,473MB,Phone,Mediatek MT6572M,320x480,160,armeabi-v7a;armeabi,17,2.0
Acer,MWND1,MW1,879MB,,Wondermedia WM8980s,1920x1080,213,armeabi-v7a;armeabi,19,2.0
Acer,Liquid E700,acer_e39,1969MB,Phone,Mediatek MT6582,720x1280,320,armeabi-v7a;armeabi,19,2.0
Acer,Liquid Z6 Plus,acer_t11,2918MB,Phone,Mediatek MT6753,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Acer,E380,acer_e3n,1984-1987MB,Phone,Mediatek MT6589,720x1280,320,armeabi-v7a;armeabi,17;19,2.0
Acer,Z120,Z2,475MB,Phone,Mediatek MT6575M,320x480,160,armeabi-v7a;armeabi,16,2.0
Acer,Liquid X1,s3,,Phone,Mediatek MT6592,720x1280,320,armeabi-v7a;armeabi,19,2.0
Acer,B1-723,oban,964MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,22,2.0
Acer,Liquid Z200,acer_z200,465MB,Phone,Mediatek MT6572,480x800,240,armeabi-v7a;armeabi,19,2.0
Acer,Chromebook 15 CB515-1HT/1H,sand_cheets,3828MB,PC,Intel N3350,1920x1080,160,x86;armeabi-v7a;armeabi,25,3.1
Acer,Liquid Z410,acer_z410,907MB,Phone,Mediatek MT6732M,480x854,240,armeabi-v7a;armeabi,19,3.0
Acer,Liquid Z630,acer_t03,1946MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,22,3.0
Acer,Z110,Z1,,Phone,Mediatek MT6575M,320x480,160,armeabi-v7a;armeabi,10,2.0
Acer,Liquid Zest 4G,acer_t07,1944MB,Phone,Mediatek MT6735P,720x1280,320,armeabi-v7a;armeabi,23,3.0
Acer,B1-721,b1-721,962-970MB,Tablet,Mediatek MT8132,600x1024,160,armeabi-v7a;armeabi,17;19,2.0
Acer,Liquid Gallant E350,C8,,Phone,Mediatek MT6575,540x960,240,armeabi-v7a;armeabi,15,2.0
Acer,Liquid Jade 2,acer_s58a,2739MB,Phone,Qualcomm MSM8992,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.1
Acer,C01 (PA),acer_c01,1864MB,Phone,Qualcomm MSM8953,480x640,240,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Acer,Aspire A3,aa3-600,1920MB,Tablet,Intel J1850,1920x1080,160,x86;armeabi-v7a;armeabi,17,2.0
Acer,E350,C8n,,Phone,Mediatek MT6577,540x888,240,armeabi-v7a;armeabi,15,2.0
Acer,A3-A20,acer_harley,970MB,Tablet,Mediatek MT8125,1280x800,160,armeabi-v7a;armeabi,19,2.0
Acer,A3-A20FHD,acer_harleyfhd,1955MB,Tablet,Mediatek MT8127T,1920x1200,240,armeabi-v7a;armeabi,19,2.0
Acer,Liquid Z220,z220,926MB,Phone,Qualcomm MSM8210,480x800,240,armeabi-v7a;armeabi,21,3.0
Acer,Liquid Z320,T012,900MB,Phone,Qualcomm MSM8209,480x854,240,armeabi-v7a;armeabi,22,3.0
Acer,B1-720,b1-720,986-994MB,Tablet,Mediatek MT8111,600x1024,160,armeabi-v7a;armeabi,17;19,2.0
Acer,DA221HQL,da1,1024MB,Tablet,Rockchip RK3188,1920x1280,160,armeabi-v7a;armeabi,17,2.0
Acer,Liquid Z6E,acer_t10,959MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,23,2.0
Acer,Chromebook 15 (CB3-532),banon_cheets,1946MB,PC,Intel N3060,1366x768,160,x86;armeabi-v7a;armeabi,25,3.1
Acer,Iconia Tab A700,picasso_mf,963MB,Tablet,NVidia Tegra 3 T30,1920x1200,240,armeabi-v7a;armeabi,15;16,2.0
Acer,Iconia Tab A210,picasso_e2,973MB,Tablet,NVidia Tegra 3 T30,1280x800,160,armeabi-v7a;armeabi,15;16,2.0
Acer,Acer E320,C6,,Phone,Qualcomm MSM7227T,320x480,160,armeabi,10,2.0
Acer,B1-711,B1-711,972-974MB,Tablet,Mediatek MT8389,600x1024,160,armeabi-v7a;armeabi,17;19,2.0
Acer,Liquid S1,a10,965-967MB,Phone,Mediatek MT6589,720x1280,320,armeabi-v7a;armeabi,17;19,2.0
Acer,Iconia TalkTab 7,acer_a1_724,909MB,Phone,Qualcomm MSM8916,720x1280,213,armeabi-v7a;armeabi,19,3.0
Acer,Iconia Tab 10 (AsgardLTE),acer_asgardlte,1899MB,Tablet,Mediatek MT8735,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Acer,B1-850,Frenzy,970MB,Tablet,Mediatek MT8163,1280x800,213,arm64-v8a;armeabi-v7a;armeabi,22,3.0
Acer,DA222HQL,da2,966-972MB,Tablet,NVidia Tegra 3 T33,1920x1080,160,armeabi-v7a;armeabi,17;19,2.0
Acer,Picasso,ventana,,Tablet,NVidia Tegra 2 T20,1280x800,160,armeabi-v7a;armeabi,11,2.0
Acer,B1-710,B1-710,987MB,Tablet,Mediatek MT8137,600x1024,160,armeabi-v7a;armeabi,16,2.0
Acer,Liquid S2,a12,1849MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,17,2.0
Acer,B1-733,acer_barricade_3G,959MB,Phone,Mediatek MT8321,720x1280,213,armeabi-v7a;armeabi,23,2.0
Acer,B3-A30,acer_jetfirehd,948MB,Tablet,Mediatek MT8163,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Acer,Liquid E600,e600,846MB,Phone,Qualcomm MSM8926,480x854,240,armeabi-v7a;armeabi,19,3.0
Acer,Liquid Z530,acer_T02,1946MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,22,3.0
Acer,Chromebook 15 (CB5-571),yuna_cheets,3883MB,PC,Intel 3215U,1080x1920,160,x86;armeabi-v7a;armeabi,25,3.1
Acer,LiquidMT,a4,,Phone,Qualcomm MSM7x30,480x800,240,armeabi-v7a;armeabi,8;10,2.0
Acer,B1-730,vespatn,965-968MB,Tablet,Intel Z2560,600x1024,160,x86;armeabi-v7a;armeabi,17;19,2.0
Acer,Iconia Tab A500,picasso,,Tablet,NVidia Tegra 2,1280x752,160,armeabi-v7a;armeabi,11;12;13;15,2.0
Acer,S300,a5,,Phone,Qualcomm QSD8x55,480x1024,240,armeabi-v7a;armeabi,10,2.0
Acer,Liquid X2,acer_S59,2935MB,Phone,Mediatek MT6753,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22,3.0
Acer,Liquid Z205,acer_z205p,465MB,Phone,Mediatek MT6572M,480x800,240,armeabi-v7a;armeabi,19,2.0
Acer,Liquid Z205,acer_z205,973MB,Phone,Mediatek MT6572M,480x800,240,armeabi-v7a;armeabi,19,2.0
Acer,CW01,acer_cw01,2925MB,Phone,Qualcomm MSM8953,480x640,240,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Acer,DA241HL,DA241HL,956MB,Tablet,NVidia Tegra 3 T33,1920x1080,160,armeabi-v7a;armeabi,17,2.0
Acer,Chromebook R11 (C738T),cyan_cheets,3895-3896MB,PC,Intel N3060,1366x768;768x1366,160,x86;armeabi-v7a;armeabi,23;25,3.0;3.1
Acer,AT390,T2,,Phone,Marvell PXA920H,480x800,240,armeabi,15,2.0
Acer,A3-A40,acer_jetfirefhd,1941MB,Tablet,Mediatek MT8163,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Aceson,R726,R726,982MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,27,2.0
Adart,RX550,ALIGATOR_RX550,1915MB,Phone,Mediatek MT6737T,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Adart,ALIGATOR S5510 Duo,Aligator_S5510,957MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Adart,ALIGATOR S5062 Duo,S5062Duo,963MB,Phone,Spreadtrum SC7731,480x854,240,armeabi-v7a;armeabi,23,2.0
Adart,ALIGATOR S4082 Duo,S4082Duo,963MB,Phone,Spreadtrum SC7731,480x800,240,armeabi-v7a;armeabi,23,2.0
Adart,ALIGATOR RX510,RX510,900MB,Phone,Qualcomm MSM8909,720x1280,320,armeabi-v7a;armeabi,23,3.0
Adart,S5060 Duo,ALIGATOR_S5060,967MB,Phone,Mediatek MT6580M,480x854,213,armeabi-v7a;armeabi,23,2.0
Adart,ALIGATOR S4080 Duo,ALIGATOR_S4080,967MB,Phone,Mediatek MT6580M,480x800,213,armeabi-v7a;armeabi,23,2.0
Admiral Overseas Corporation,A2472PW4T,G3SMNTA24,1976MB,Tablet,NVidia Tegra 3 T33,1920x1080,160,armeabi-v7a;armeabi,17,2.0
Admiral Overseas Corporation,One,One,985MB,Tablet,Rockchip RK3126C,1024x600,160,armeabi-v7a;armeabi,25,2.0
Admiral Overseas Corporation,O7,O7,1944MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,23,3.0
Admiral Overseas Corporation,Fire,Fire,983MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,25,2.0
Admiral Overseas Corporation,A2272PW4T,AOC_WW,854-1976MB,Tablet,NVidia Tegra 3 T33,1280x672;1920x1080,160,armeabi-v7a;armeabi,16;17,2.0
Admiral Overseas Corporation,C7,C7,1940MB,Phone,Mediatek MT6735,480x854,240,armeabi-v7a;armeabi,23,3.0
Advan digital,G1,G1,2934MB,Phone,Mediatek MT8735,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Advan digital,E1C,ADVAN_E1C_3G,964MB,Phone,Mediatek MT8321,600x1024,213,armeabi-v7a;armeabi,23,2.0
Advan digital,i55K,ADVAN_i55K,1884MB,Phone,Mediatek MT6737,640x1280,320,armeabi-v7a;armeabi,24,3.1
Advan digital,S4Z,ADVAN_S4Z,952MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,23,2.0
Advan digital,i5C plus,ADVAN_i5C_Plus,1918MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Advan digital,S40 LTE,ADVAN_i4U,803MB,Phone,Spreadtrum SC9850,480x800,240,armeabi-v7a;armeabi,24,3.2
Advan digital,G2,ADVAN_G2,2807MB,Phone,Mediatek MT6750,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Advan digital,i55D,ADVAN_i55D,803MB,Phone,Spreadtrum SC9850,480x960,240,armeabi-v7a;armeabi,24,3.2
Advan digital,i6A,ADVAN_5501,1839MB,Phone,Mediatek MT6739WA,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Advan digital,I5E,ADVAN_I5E,1944MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,23,3.0
Advan digital,I5E,ADVAN_I5Es,1916MB,Phone,Spreadtrum SC9832A,720x1280,320,armeabi-v7a;armeabi,22,2.0
Advan digital,i5D,ADVAN_i5D,803MB,Phone,Spreadtrum SC9850,480x960,240,armeabi-v7a;armeabi,24,3.2
Advan digital,S5E_NXT,ADVAN_S5E_NXT,703-964MB,Phone,Spreadtrum SC7731C,480x854,240,armeabi-v7a;armeabi,22;23,2.0
Advan digital,I Tab,ADVAN_i_Tab,1901MB,Phone,Mediatek MT8735,720x1280,240,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Advan digital,5041,ADVAN_5041,703MB,Phone,Spreadtrum SC7731C,480x854,240,armeabi-v7a;armeabi,23,2.0
Advan digital,i7,ADVAN_i7,1931MB,Tablet,Mediatek MT8735M,600x1024,160,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Advan digital,A8,ADVAN_A8,3818MB,Phone,Mediatek MT6750T,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Advan digital,I55A,I55A,3880MB,Phone,Mediatek MT6750,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Advan digital,5059,ADVAN_5059,915MB,Phone,Spreadtrum SC9832,480x854,240,armeabi-v7a;armeabi,23,2.0
Advan digital,5060,ADVAN_5060,877MB,Phone,Spreadtrum SC9832A,480x854,240,armeabi-v7a;armeabi,24,2.0
Advan digital,S7A,S7A,456MB,Phone,Spreadtrum SC7731G,600x1024,213,armeabi-v7a;armeabi,22,2.0
Advan digital,S5E FULL VIEW,ADVAN_S5E_FULL_VIEW,803MB,Phone,Spreadtrum SC9850,480x960,240,armeabi-v7a;armeabi,24,3.2
Advan digital,T2J,T2J,998MB,Tablet,Rockchip RK3126,1024x600,160,armeabi-v7a;armeabi,23,2.0
Advan digital,X7 Pro,ADVAN_7008,964MB,Phone,Mediatek MT8321,1024x600,213,armeabi-v7a;armeabi,23,2.0
Advan digital,T2K,T2K,491MB,Tablet,Rockchip RK3126,600x1024,160,armeabi-v7a;armeabi,23,2.0
Advan digital,S45E,ADVAN_S45E,703MB,Phone,Spreadtrum SC7731C,480x854,240,armeabi-v7a;armeabi,23,2.0
Advan digital,S7C,ADVAN_S7C,692MB,Phone,Spreadtrum SC7731C,1024x600,213,armeabi-v7a;armeabi,23,2.0
Advan digital,ADVAN S50 4G,ADVAN_i5G,860MB,Phone,Spreadtrum SC9850KA,480x854,240,armeabi-v7a;armeabi,27,3.2
Advan digital,S40,ADVAN_S40,914MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,24,2.0
Advan digital,S4T,S4T,457MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,22,2.0
Advan digital,G1 PRO,ADVAN_G1_Pro,2933MB,Phone,Mediatek MT8735,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Advan digital,G3,ADVAN_G3,3830MB,Phone,Mediatek MT6750,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Advan digital,I7D,ADVAN_I7D,915MB,Phone,Spreadtrum SC9832A,1024x600,213,armeabi-v7a;armeabi,23,2.0
Advan digital,E1C NXT,ADVAN_E1C_NXT,959MB,Phone,Mediatek MT8321,1024x600,213,armeabi-v7a;armeabi,24,2.0
Advan digital,i5C,i5C,937MB,Phone,Mediatek MT6737,480x854,240,armeabi-v7a;armeabi,23,3.0
Advan digital,i7A,ADVAN_i7A,923MB,Tablet,Mediatek MT8735M,600x1024,160,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Advan digital,ADVAN G2 plus,ADVAN_5701,2857MB,Phone,Mediatek MT6580,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.1
Advan digital,M4,ADVAN_M4,462MB,Phone,Mediatek MT6570,480x800,240,armeabi-v7a;armeabi,23,2.0
Advan digital,i10,i10,1900MB,Phone,Mediatek MT8735,800x1280,240,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Advan digital,5061,ADVAN_5061,803MB,Phone,Spreadtrum SC9850S,720x1280,320,armeabi-v7a;armeabi,24,3.2
Advan digital,i7U,ADVAN_i_Lite,803MB,Phone,Spreadtrum SC9850,600x1024,213,armeabi-v7a;armeabi,24,3.2
Advance,Pr6150,Pr6150,952MB,Tablet,Mediatek MT8321,800x1280,160,armeabi-v7a;armeabi,24,2.0
Advance,Pr6146,Pr6146,957MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,24,2.0
Advance,HL5576,HL5576,948MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,27,2.0
Advance,Pr5747,Pr5747,984MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,25,2.0
